Aspect,Polarity,Summary,lat,lng,name,business_status,address,types,user_ratings_total,#charging_stations,text,avg_rating
ease of use,Positive,Great easy amd fast charger!!! CCS connection and plug n charge with Chevy products],42.244709,-83.738976,EVgo Charging Station,OPERATIONAL,"Shell, 2991 S State St, Ann Arbor, MI 48104, USA","point_of_interest, establishment",8,5,"Worked first time via evgo app. However, maxed out at 42kwh instead of 50.Super fast charging! Fills your batteries up very quick while draining your wallet. 12 minutes was almost five dollars. Very expense at 35 cents a minute.Great easy amd fast charger!!!  CCS connection and plug n charge with Chevy productsCouldn't get it to charge. Probably need to upgrade this one.Efficient! Easy to use!",4.4
compatibility and connectivity,Negative,Couldn't get it to charge. Probably need to upgrade this one],42.244709,-83.738976,EVgo Charging Station,OPERATIONAL,"Shell, 2991 S State St, Ann Arbor, MI 48104, USA","point_of_interest, establishment",8,5,"Worked first time via evgo app. However, maxed out at 42kwh instead of 50.Super fast charging! Fills your batteries up very quick while draining your wallet. 12 minutes was almost five dollars. Very expense at 35 cents a minute.Great easy amd fast charger!!!  CCS connection and plug n charge with Chevy productsCouldn't get it to charge. Probably need to upgrade this one.Efficient! Easy to use!",4.4
ease of use,Positive,Efficient! Easy to use],42.244709,-83.738976,EVgo Charging Station,OPERATIONAL,"Shell, 2991 S State St, Ann Arbor, MI 48104, USA","point_of_interest, establishment",8,5,"Worked first time via evgo app. However, maxed out at 42kwh instead of 50.Super fast charging! Fills your batteries up very quick while draining your wallet. 12 minutes was almost five dollars. Very expense at 35 cents a minute.Great easy amd fast charger!!!  CCS connection and plug n charge with Chevy productsCouldn't get it to charge. Probably need to upgrade this one.Efficient! Easy to use!",4.4
accessibility and availability,Positive,Two Chargepoint stations on the north side of the BP gas station],42.2507427,-83.66150710000001,ChargePoint Charging Station,OPERATIONAL,"4975 Washtenaw Ave, Ann Arbor, MI 48108, USA","point_of_interest, establishment",1,1,"Two Chargepoint stations on the north side of the BP gas station. Idle fee recently implemented for $10 per hour, which is good because people left their car overtime in the past.",5.0
price and cost,Positive,Idle fee recently implemented for $10 per hour],42.2507427,-83.66150710000001,ChargePoint Charging Station,OPERATIONAL,"4975 Washtenaw Ave, Ann Arbor, MI 48108, USA","point_of_interest, establishment",1,1,"Two Chargepoint stations on the north side of the BP gas station. Idle fee recently implemented for $10 per hour, which is good because people left their car overtime in the past.",5.0
reliability and maintenance,Positive,good because people left their car overtime in the past],42.2507427,-83.66150710000001,ChargePoint Charging Station,OPERATIONAL,"4975 Washtenaw Ave, Ann Arbor, MI 48108, USA","point_of_interest, establishment",1,1,"Two Chargepoint stations on the north side of the BP gas station. Idle fee recently implemented for $10 per hour, which is good because people left their car overtime in the past.",5.0
ease of use,Positive,"Easy-no touch screens, no credit",42.2590308,-82.9651505,Tesla Supercharger,OPERATIONAL,"4150 Walker Rd, Windsor, ON N8W 3T5, Canada","point_of_interest, establishment",8,5,"Easy-no touch screens, no credit/debit swipe slots, no buttons, just plug in to yr tesla. U must have bank card or apple/google pay associated with yr phone for automatic payment. Fast-u get a text when yr charge is near complete. Clean, well lit, took about 20 minutes for 50% charge. Cost $14 bucks.Hard to find restrooms at night. Burger King closed at 8 pm, Saturday. A & W sign says open 24/7, but the door was locked. We had to drive to Tim Horton's after charging.Great new location close to border plaza with stuff in it to get stuff done or kill time. Thanks TeslaLots of places around. 250kw",4.25
payment Options,Positive,U must have bank card or apple,42.2590308,-82.9651505,Tesla Supercharger,OPERATIONAL,"4150 Walker Rd, Windsor, ON N8W 3T5, Canada","point_of_interest, establishment",8,5,"Easy-no touch screens, no credit/debit swipe slots, no buttons, just plug in to yr tesla. U must have bank card or apple/google pay associated with yr phone for automatic payment. Fast-u get a text when yr charge is near complete. Clean, well lit, took about 20 minutes for 50% charge. Cost $14 bucks.Hard to find restrooms at night. Burger King closed at 8 pm, Saturday. A & W sign says open 24/7, but the door was locked. We had to drive to Tim Horton's after charging.Great new location close to border plaza with stuff in it to get stuff done or kill time. Thanks TeslaLots of places around. 250kw",4.25
charging speed and efficiency,Positive,Fast-u get a text when yr charge is near complete],42.2590308,-82.9651505,Tesla Supercharger,OPERATIONAL,"4150 Walker Rd, Windsor, ON N8W 3T5, Canada","point_of_interest, establishment",8,5,"Easy-no touch screens, no credit/debit swipe slots, no buttons, just plug in to yr tesla. U must have bank card or apple/google pay associated with yr phone for automatic payment. Fast-u get a text when yr charge is near complete. Clean, well lit, took about 20 minutes for 50% charge. Cost $14 bucks.Hard to find restrooms at night. Burger King closed at 8 pm, Saturday. A & W sign says open 24/7, but the door was locked. We had to drive to Tim Horton's after charging.Great new location close to border plaza with stuff in it to get stuff done or kill time. Thanks TeslaLots of places around. 250kw",4.25
amenities and location,Positive,"Clean, well lit, took about 20 minutes for 50% charge]",42.2590308,-82.9651505,Tesla Supercharger,OPERATIONAL,"4150 Walker Rd, Windsor, ON N8W 3T5, Canada","point_of_interest, establishment",8,5,"Easy-no touch screens, no credit/debit swipe slots, no buttons, just plug in to yr tesla. U must have bank card or apple/google pay associated with yr phone for automatic payment. Fast-u get a text when yr charge is near complete. Clean, well lit, took about 20 minutes for 50% charge. Cost $14 bucks.Hard to find restrooms at night. Burger King closed at 8 pm, Saturday. A & W sign says open 24/7, but the door was locked. We had to drive to Tim Horton's after charging.Great new location close to border plaza with stuff in it to get stuff done or kill time. Thanks TeslaLots of places around. 250kw",4.25
price and cost,Positive,Cost $14 bucks],42.2590308,-82.9651505,Tesla Supercharger,OPERATIONAL,"4150 Walker Rd, Windsor, ON N8W 3T5, Canada","point_of_interest, establishment",8,5,"Easy-no touch screens, no credit/debit swipe slots, no buttons, just plug in to yr tesla. U must have bank card or apple/google pay associated with yr phone for automatic payment. Fast-u get a text when yr charge is near complete. Clean, well lit, took about 20 minutes for 50% charge. Cost $14 bucks.Hard to find restrooms at night. Burger King closed at 8 pm, Saturday. A & W sign says open 24/7, but the door was locked. We had to drive to Tim Horton's after charging.Great new location close to border plaza with stuff in it to get stuff done or kill time. Thanks TeslaLots of places around. 250kw",4.25
amenities and location,Negative,Hard to find restrooms at night],42.2590308,-82.9651505,Tesla Supercharger,OPERATIONAL,"4150 Walker Rd, Windsor, ON N8W 3T5, Canada","point_of_interest, establishment",8,5,"Easy-no touch screens, no credit/debit swipe slots, no buttons, just plug in to yr tesla. U must have bank card or apple/google pay associated with yr phone for automatic payment. Fast-u get a text when yr charge is near complete. Clean, well lit, took about 20 minutes for 50% charge. Cost $14 bucks.Hard to find restrooms at night. Burger King closed at 8 pm, Saturday. A & W sign says open 24/7, but the door was locked. We had to drive to Tim Horton's after charging.Great new location close to border plaza with stuff in it to get stuff done or kill time. Thanks TeslaLots of places around. 250kw",4.25
